 
--------------------------------------------------------------------------------
 60-Nd-144   T= 0.00 K from IAEA/PD-2019       (ACEMAKER)
 ZAID= 60144.38u  MAT=6031  ZA= 60144
 AWR= 142.673800  STA=  0  ELIS=   0.000 MeV  LIS=  0  LISO=  0
--------------------------------------------------------------------------------
 NTOTR= 138 NTRAN=   1 NPROD= 137 NE=      89 EMAX= 200.000 MeV
   i   FMn/MT     Q [MeV]     T [MeV] LMF  MT    ZAP LFS
   1        5    0.000000    1.000000   3   5
  33 50055123    0.000000  110.000000   6   5  55123   0
  34 55055123    0.000000  110.000000   6   5  55123   5
  35 50055124    0.000000  110.000000   6   5  55124   0
  36 75055124    0.000000  110.000000   6   5  55124  25
  37 50055125    0.000000  110.000000   6   5  55125   0
  38 50055126    0.000000  110.000000   6   5  55126   0
  39 50056120    0.000000  160.000000   6   5  56120   0
  40 50056121    0.000000  140.000000   6   5  56121   0
  41 50056122    0.000000  130.000000   6   5  56122   0
  42 50056123    0.000000  120.000000   6   5  56123   0
  43 50056124    0.000000  110.000000   6   5  56124   0
  44 50056125    0.000000  110.000000   6   5  56125   0
  45 50056126    0.000000  110.000000   6   5  56126   0
  46 50056127    0.000000  100.000000   6   5  56127   0
  47 52056127    0.000000  100.000000   6   5  56127   2
  48 50056128    0.000000  100.000000   6   5  56128   0
  49 50056129    0.000000  100.000000   6   5  56129   0
  50 51056129    0.000000  100.000000   6   5  56129   1
  51 50057122    0.000000  160.000000   6   5  57122   0
  52 50057123    0.000000  150.000000   6   5  57123   0
  53 50057124    0.000000  130.000000   6   5  57124   0
  54 51057124    0.000000  130.000000   6   5  57124   1
  55 50057125    0.000000  120.000000   6   5  57125   0
  56 50057126    0.000000  110.000000   6   5  57126   0
  57 51057126    0.000000  110.000000   6   5  57126   1
  58 50057127    0.000000  100.000000   6   5  57127   0
  59 51057127    0.000000  100.000000   6   5  57127   1
  60 50057128    0.000000  100.000000   6   5  57128   0
  61 56057128    0.000000  100.000000   6   5  57128   6
  62 50057129    0.000000   95.000000   6   5  57129   0
  63 50057130    0.000000   90.000000   6   5  57130   0
  64 50057131    0.000000   85.000000   6   5  57131   0
  65 50057132    0.000000   80.000000   6   5  57132   0
  66 54057132    0.000000   80.000000   6   5  57132   4
  67 50057133    0.000000   78.000000   6   5  57133   0
  68 50057134    0.000000   72.000000   6   5  57134   0
  69 50057135    0.000000   68.000000   6   5  57135   0
  70 50057136    0.000000   68.000000   6   5  57136   0
  71 50057137    0.000000   68.000000   6   5  57137   0
  72 50057138    0.000000   68.000000   6   5  57138   0
  73 50057139    0.000000   85.000000   6   5  57139   0
  74 50058125    0.000000  140.000000   6   5  58125   0
  75 50058126    0.000000  130.000000   6   5  58126   0
  76 50058127    0.000000  120.000000   6   5  58127   0
  77 51058127    0.000000  120.000000   6   5  58127   1
  78 50058128    0.000000  110.000000   6   5  58128   0
  79 50058129    0.000000  100.000000   6   5  58129   0
  80 50058130    0.000000   90.000000   6   5  58130   0
  81 50058131    0.000000   85.000000   6   5  58131   0
  82 51058131    0.000000   85.000000   6   5  58131   1
  83 50058132    0.000000   78.000000   6   5  58132   0
  84 50058133    0.000000   74.000000   6   5  58133   0
  85 51058133    0.000000   74.000000   6   5  58133   1
  86 50058134    0.000000   64.000000   6   5  58134   0
  87 50058135    0.000000   56.000000   6   5  58135   0
  88 54058135    0.000000   56.000000   6   5  58135   4
  89 50058136    0.000000   46.000000   6   5  58136   0
  90 50058137    0.000000   38.000000   6   5  58137   0
  91 52058137    0.000000   38.000000   6   5  58137   2
  92 50058138    0.000000   27.000000   6   5  58138   0
  93 50058139    0.000000   17.500000   6   5  58139   0
  94 52058139    0.000000   17.500000   6   5  58139   2
  95 50058140    0.000000    1.000000   6   5  58140   0
  96 50058141    0.000000   40.000000   6   5  58141   0
  97 50058142    0.000000   38.000000   6   5  58142   0
  98 50059127    0.000000  160.000000   6   5  59127   0
  99 50059128    0.000000  140.000000   6   5  59128   0
 100 50059129    0.000000  130.000000   6   5  59129   0
 101 50059130    0.000000  110.000000   6   5  59130   0
 102 50059131    0.000000  100.000000   6   5  59131   0
 103 52059131    0.000000  100.000000   6   5  59131   2
 104 50059132    0.000000   95.000000   6   5  59132   0
 105 50059133    0.000000   90.000000   6   5  59133   0
 106 53059133    0.000000   90.000000   6   5  59133   3
 107 50059134    0.000000   80.000000   6   5  59134   0
 108 51059134    0.000000   80.000000   6   5  59134   1
 109 50059135    0.000000   74.000000   6   5  59135   0
 110 50059136    0.000000   68.000000   6   5  59136   0
 111 50059137    0.000000   60.000000   6   5  59137   0
 112 50059138    0.000000   52.000000   6   5  59138   0
 113 55059138    0.000000   52.000000   6   5  59138   5
 114 50059139    0.000000   42.000000   6   5  59139   0
 115 50059140    0.000000   34.000000   6   5  59140   0
 116 50059141    0.000000   25.000000   6   5  59141   0
 117 50059142    0.000000   19.000000   6   5  59142   0
 118 51059142    0.000000   19.000000   6   5  59142   1
 119 50059143    0.000000   12.000000   6   5  59143   0
 120 50060130    0.000000  130.000000   6   5  60130   0
 121 50060131    0.000000  120.000000   6   5  60131   0
 122 50060132    0.000000  110.000000   6   5  60132   0
 123 50060133    0.000000  100.000000   6   5  60133   0
 124 51060133    0.000000  100.000000   6   5  60133   1
 125 50060134    0.000000   90.000000   6   5  60134   0
 126 50060135    0.000000   80.000000   6   5  60135   0
 127 50060136    0.000000   70.000000   6   5  60136   0
 128 50060137    0.000000   60.000000   6   5  60137   0
 129 54060137    0.000000   60.000000   6   5  60137   4
 130 50060138    0.000000   50.000000   6   5  60138   0
 131 50060139    0.000000   42.000000   6   5  60139   0
 132 52060139    0.000000   42.000000   6   5  60139   2
 133 50060140    0.000000   30.000000   6   5  60140   0
 134 50060141    0.000000   23.000000   6   5  60141   0
 135 52060141    0.000000   24.000000   6   5  60141   2
 136 50060142    0.000000   13.500000   6   5  60142   0
 137 50060143    0.000000    7.500000   6   5  60143   0
 138 50060144    0.000000    1.000000   6   5  60144   0
 
   p   ZAP IP   NR    Tp [MeV]
   1     1  1    1    7.500000
   2     0  2    1    1.000000
   3  1001  9    1    9.500000
   4  1002 31    1   14.500000
   5  1003 32    1   15.500000
   6  2003 33    1   20.000000
   7  2004 34    1    4.500000
--------------------------------------------------------------------------------
 
